REMOVED
[R.] unit-cups.socket                                                     <none>
[R.] unit-display-manager.service                                         <none>
[R.] unit-gcr-ssh-agent.service                                           <none>
[R.] unit-gcr-ssh-agent.socket                                            <none>
[R.] unit-network-local-commands.service-disabled                         <none>
[R.] unit-network-setup.service                                           <none>
[R.] unit-post-resume.service                                             <none>
[R.] unit-post-resume.target                                              <none>
[R.] unit-pre-shutdown.service                                            <none>
[R.] unit-pre-sleep.service                                               <none>
[R.] unit-rtkit-daemon.service                                            <none>
[R.] unit-script-cups-pre-start                                           <none>
[R.] unit-script-display-manager-start                                    <none>
[R.] unit-script-network-setup-start                                      <none>
[R.] unit-script-post-resume-start                                        <none>
[R.] unit-script-pre-shutdown-start                                       <none>
[R.] unit-script-pre-sleep-start                                          <none>
[R.] unit-systemd-udev-settle.service                                     <none>
[R.] unit-xdg-autostart-if-no-desktop-manager.target                      <none>
[R.] unixobcd                                                             2.3.12
[R-] unzip                                                                6.0
[R-] upower                                                               1.91.1
[R.] user-environment                                                     <none>
[R.] utf8proc                                                             2.11.3
[R.] vamp-plugin-sdk                                                      2.10
[R.] volume_key                                                           0.3.11
[R.] vulkan-headers                                                       1.4.341.0
[R.] wayland-scanner                                                      1.24.0, 1.24.0-bin, 1.24.0-dev
[R.] wb32-dfu-updater                                                     1.0.0
[R.] webkitgtk                                                            2.52.0+abi=4.1
[R.] webp-pixbuf-loader                                                   0.2.7
[R-] wget                                                                 1.25.0, 1.25.0-info, 1.25.0-man
[R.] wofi                                                                 1.5.3
[R.] wofi-style                                                           <none>
[R.] wxwidgets                                                            3.2.9
[R-] xdg-desktop-portal-gnome                                             49.0
[R.] xfconf                                                               4.20.0
[R.] xfsprogs                                                             6.17.0, 6.17.0-bin
[R.] xjadeo                                                               0.8.15
[R.] xwayland-satellite                                                   0.8.1, 0.8.1-man
[R.] xxHash                                                               0.8.3
[R.] yaml-cpp                                                             0.8.0
[R.] yazi                                                                 26.1.22
[R.] yazi-keymap                                                          <none>
[R.] yt-dlp                                                               2026.03.17
[R.] yyjson                                                               0.12.0
[R.] zathura                                                              2026.02.09, 2026.02.09-bin, 2026.02.09-dev, 2026.02.09-man
[R.] zathura-cb                                                           2026.02.03
[R.] zathura-djvu                                                         2026.02.03
[R.] zathura-pdf-mupdf                                                    2026.02.03
[R.] zathura-ps                                                           2026.02.03
[R.] zathura-with-plugins                                                 2026.02.09
[R.] zellij                                                               0.44.0
[R-] zip                                                                  3.0
[R.] zlib-ng                                                              2.3.3
[R.] zoxide                                                               0.9.9
